netlist,score,intersections,restarts,max_reverts
"[(36, 20), (30, 10), (9, 29), (22, 7), (1, 22), (40, 16), (15, 40), (33, 30), (5, 30), (15, 5), (13, 2), (21, 41), (29, 44), (40, 19), (35, 46), (13, 15), (47, 36), (15, 7), (44, 16), (29, 28), (34, 31), (37, 5), (49, 25), (36, 27), (47, 13), (38, 17), (6, 32), (32, 12), (37, 3), (18, 26), (11, 33), (5, 24), (36, 15), (43, 4), (3, 4), (44, 31), (4, 32), (42, 2), (6, 45), (23, 50), (9, 43), (22, 8), (4, 49), (5, 31), (32, 26), (48, 23), (47, 1), (1, 13), (27, 25), (50, 14)]",7764,23,250,20
"[(35, 46), (5, 24), (33, 30), (13, 2), (40, 16), (15, 7), (47, 36), (36, 20), (38, 17), (27, 25), (50, 14), (13, 15), (21, 41), (15, 5), (9, 29), (4, 32), (3, 4), (6, 32), (29, 44), (23, 50), (44, 16), (37, 3), (5, 31), (29, 28), (32, 12), (40, 19), (5, 30), (49, 25), (34, 31), (44, 31), (36, 15), (9, 43), (15, 40), (42, 2), (30, 10), (37, 5), (22, 8), (48, 23), (1, 13), (47, 13), (11, 33), (22, 7), (4, 49), (32, 26), (36, 27), (47, 1), (18, 26), (6, 45), (43, 4), (1, 22)]",6588,19,500,20
"[(15, 5), (22, 7), (30, 10), (40, 19), (48, 23), (5, 24), (5, 30), (32, 12), (5, 31), (9, 43), (22, 8), (13, 2), (18, 26), (36, 27), (23, 50), (47, 13), (4, 32), (49, 25), (40, 16), (36, 20), (32, 26), (33, 30), (36, 15), (1, 13), (13, 15), (9, 29), (44, 31), (4, 49), (6, 32), (6, 45), (37, 3), (3, 4), (34, 31), (1, 22), (21, 41), (47, 1), (11, 33), (44, 16), (42, 2), (29, 44), (29, 28), (15, 7), (35, 46), (27, 25), (37, 5), (38, 17), (50, 14), (47, 36), (43, 4), (15, 40)]",7174,21,750,20
"[(29, 28), (13, 2), (40, 16), (35, 46), (36, 15), (44, 31), (15, 5), (36, 27), (3, 4), (22, 7), (4, 32), (23, 50), (4, 49), (32, 26), (9, 29), (27, 25), (13, 15), (11, 33), (47, 13), (30, 10), (18, 26), (47, 36), (48, 23), (49, 25), (32, 12), (6, 45), (40, 19), (37, 5), (15, 40), (44, 16), (50, 14), (33, 30), (37, 3), (5, 24), (5, 31), (1, 13), (29, 44), (1, 22), (36, 20), (38, 17), (47, 1), (43, 4), (34, 31), (6, 32), (9, 43), (22, 8), (42, 2), (21, 41), (5, 30), (15, 7)]",6268,18,1000,20
"[(36, 15), (15, 40), (18, 26), (44, 16), (47, 1), (35, 46), (9, 29), (15, 5), (47, 36), (13, 2), (4, 49), (22, 7), (32, 12), (36, 20), (29, 44), (37, 3), (21, 41), (13, 15), (22, 8), (34, 31), (40, 16), (33, 30), (30, 10), (15, 7), (5, 30), (27, 25), (3, 4), (5, 24), (38, 17), (32, 26), (50, 14), (29, 28), (36, 27), (11, 33), (47, 13), (48, 23), (43, 4), (1, 13), (42, 2), (6, 45), (23, 50), (9, 43), (4, 32), (6, 32), (49, 25), (44, 31), (37, 5), (40, 19), (1, 22), (5, 31)]",5380,15,1250,20
"[(44, 16), (44, 31), (49, 25), (37, 5), (34, 31), (33, 30), (32, 12), (47, 36), (21, 41), (35, 46), (40, 16), (29, 44), (40, 19), (5, 24), (29, 28), (15, 5), (36, 15), (36, 20), (22, 7), (23, 50), (47, 13), (5, 30), (9, 43), (48, 23), (15, 40), (15, 7), (13, 2), (5, 31), (18, 26), (30, 10), (6, 32), (4, 49), (38, 17), (50, 14), (1, 13), (4, 32), (9, 29), (36, 27), (13, 15), (32, 26), (22, 8), (43, 4), (27, 25), (11, 33), (47, 1), (6, 45), (37, 3), (3, 4), (42, 2), (1, 22)]",6000,17,1500,20

"[(15, 40), (15, 7), (9, 43), (21, 41), (29, 44), (37, 5), (23, 50), (18, 26), (47, 13), (40, 16), (29, 28), (47, 36), (47, 1), (13, 2), (22, 7), (6, 32), (22, 8), (15, 5), (49, 25), (11, 33), (13, 15), (40, 19), (48, 23), (32, 12), (9, 29), (1, 13), (27, 25), (36, 20), (32, 26), (5, 24), (36, 15), (37, 3), (4, 32), (5, 30), (44, 31), (36, 27), (34, 31), (50, 14), (30, 10), (44, 16), (4, 49), (5, 31), (35, 46), (43, 4), (33, 30), (3, 4), (38, 17), (42, 2), (6, 45), (1, 22)]",6900,20,20,50
"[(15, 5), (40, 19), (22, 8), (21, 41), (38, 17), (36, 20), (35, 46), (27, 25), (3, 4), (13, 15), (30, 10), (32, 12), (15, 40), (47, 36), (18, 26), (36, 27), (44, 31), (32, 26), (13, 2), (1, 22), (5, 24), (6, 45), (4, 32), (36, 15), (11, 33), (9, 43), (43, 4), (6, 32), (37, 3), (48, 23), (44, 16), (15, 7), (34, 31), (33, 30), (9, 29), (42, 2), (29, 44), (23, 50), (5, 31), (22, 7), (5, 30), (29, 28), (40, 16), (1, 13), (50, 14), (4, 49), (49, 25), (47, 13), (37, 5), (47, 1)]",9276,28,20,100
"[(37, 5), (22, 8), (30, 10), (27, 25), (13, 15), (5, 24), (11, 33), (5, 30), (15, 40), (32, 26), (43, 4), (49, 25), (6, 45), (40, 19), (22, 7), (36, 15), (44, 31), (34, 31), (1, 22), (36, 27), (33, 30), (32, 12), (18, 26), (50, 14), (9, 29), (44, 16), (1, 13), (4, 49), (37, 3), (40, 16), (9, 43), (3, 4), (15, 7), (42, 2), (13, 2), (5, 31), (47, 13), (4, 32), (6, 32), (21, 41), (36, 20), (15, 5), (29, 44), (38, 17), (29, 28), (35, 46), (47, 36), (47, 1), (23, 50), (48, 23)]",7444,22,20,150
