netlist,score,intersections,restarts,max_reverts
"[(21, 48), (20, 34), (5, 41), (21, 30), (34, 37), (10, 6), (13, 25), (23, 31), (16, 43), (13, 33), (37, 30), (1, 13), (27, 2), (39, 17), (37, 38), (29, 46), (14, 50), (11, 20), (32, 42), (45, 35), (31, 10), (5, 9), (44, 45), (26, 25), (1, 11), (45, 30), (40, 49), (17, 2), (25, 24), (25, 9), (4, 34), (18, 4), (36, 7), (49, 48), (20, 31), (5, 16), (26, 50), (35, 6), (1, 22), (48, 6), (33, 12), (46, 19), (1, 17), (32, 5), (2, 4), (19, 12), (13, 26), (19, 28), (45, 43), (8, 29), (41, 11), (34, 5), (42, 14), (28, 23), (35, 22), (24, 44), (3, 18), (27, 9), (29, 41), (9, 28)]",12256,38,250,20
"[(17, 2), (21, 48), (46, 19), (5, 9), (40, 49), (29, 41), (25, 9), (25, 24), (28, 23), (32, 5), (13, 25), (32, 42), (27, 2), (26, 25), (26, 50), (19, 12), (35, 6), (18, 4), (33, 12), (34, 37), (45, 35), (20, 31), (2, 4), (19, 28), (16, 43), (37, 30), (5, 16), (23, 31), (27, 9), (20, 34), (9, 28), (44, 45), (31, 10), (1, 11), (48, 6), (45, 43), (1, 13), (13, 33), (42, 14), (37, 38), (3, 18), (24, 44), (41, 11), (49, 48), (21, 30), (13, 26), (1, 17), (11, 20), (14, 50), (29, 46), (8, 29), (39, 17), (36, 7), (4, 34), (35, 22), (5, 41), (10, 6), (45, 30), (1, 22), (34, 5)]",11946,37,500,20
"[(27, 9), (48, 6), (34, 5), (32, 42), (4, 34), (49, 48), (37, 38), (17, 2), (19, 12), (19, 28), (33, 12), (1, 13), (37, 30), (45, 43), (39, 17), (25, 24), (29, 41), (46, 19), (26, 25), (23, 31), (40, 49), (41, 11), (9, 28), (20, 31), (35, 6), (21, 30), (44, 45), (1, 17), (1, 11), (28, 23), (20, 34), (21, 48), (10, 6), (26, 50), (32, 5), (24, 44), (5, 9), (13, 26), (45, 30), (5, 16), (27, 2), (45, 35), (31, 10), (29, 46), (25, 9), (35, 22), (5, 41), (2, 4), (3, 18), (1, 22), (13, 33), (42, 14), (8, 29), (36, 7), (13, 25), (11, 20), (16, 43), (34, 37), (14, 50), (18, 4)]",13464,42,750,20
"[(33, 12), (40, 49), (20, 34), (35, 22), (41, 11), (18, 4), (3, 18), (5, 9), (44, 45), (17, 2), (23, 31), (45, 35), (14, 50), (21, 48), (11, 20), (29, 46), (29, 41), (9, 28), (37, 38), (1, 13), (26, 50), (27, 2), (32, 5), (32, 42), (34, 37), (28, 23), (31, 10), (13, 33), (45, 43), (20, 31), (8, 29), (2, 4), (25, 24), (49, 48), (37, 30), (26, 25), (4, 34), (45, 30), (24, 44), (25, 9), (27, 9), (48, 6), (13, 25), (36, 7), (5, 41), (16, 43), (39, 17), (19, 12), (1, 22), (35, 6), (34, 5), (5, 16), (10, 6), (1, 11), (19, 28), (46, 19), (1, 17), (13, 26), (21, 30), (42, 14)]",12572,39,1000,20

"[(35, 22), (20, 31), (19, 12), (17, 2), (20, 34), (14, 50), (18, 4), (5, 41), (24, 44), (4, 34), (5, 9), (2, 4), (23, 31), (35, 6), (26, 25), (8, 29), (13, 25), (25, 9), (5, 16), (31, 10), (39, 17), (25, 24), (27, 2), (49, 48), (45, 43), (34, 37), (10, 6), (42, 14), (33, 12), (36, 7), (11, 20), (37, 30), (41, 11), (45, 35), (48, 6), (19, 28), (21, 30), (13, 26), (21, 48), (1, 13), (34, 5), (1, 17), (29, 41), (32, 42), (1, 22), (1, 11), (44, 45), (9, 28), (3, 18), (37, 38), (32, 5), (16, 43), (29, 46), (13, 33), (26, 50), (45, 30), (28, 23), (40, 49), (27, 9), (46, 19)]",13500,42,30,50
"[(35, 22), (21, 30), (20, 34), (29, 46), (45, 43), (1, 22), (2, 4), (10, 6), (3, 18), (35, 6), (19, 12), (23, 31), (19, 28), (37, 30), (5, 16), (44, 45), (18, 4), (39, 17), (9, 28), (45, 35), (34, 37), (26, 25), (32, 5), (46, 19), (13, 25), (16, 43), (21, 48), (26, 50), (40, 49), (13, 26), (27, 2), (25, 24), (13, 33), (31, 10), (45, 30), (24, 44), (48, 6), (28, 23), (27, 9), (1, 17), (1, 13), (1, 11), (29, 41), (49, 48), (34, 5), (33, 12), (36, 7), (11, 20), (8, 29), (20, 31), (14, 50), (42, 14), (5, 9), (25, 9), (17, 2), (4, 34), (41, 11), (32, 42), (5, 41), (37, 38)]",12876,40,30,100
"[(21, 30), (45, 43), (34, 37), (27, 9), (21, 48), (14, 50), (8, 29), (37, 30), (24, 44), (5, 9), (1, 17), (13, 25), (29, 46), (17, 2), (11, 20), (31, 10), (45, 30), (32, 5), (39, 17), (40, 49), (5, 16), (32, 42), (16, 43), (4, 34), (41, 11), (1, 11), (35, 6), (34, 5), (27, 2), (29, 41), (5, 41), (44, 45), (33, 12), (19, 12), (36, 7), (45, 35), (49, 48), (42, 14), (13, 26), (3, 18), (18, 4), (37, 38), (1, 22), (20, 31), (19, 28), (9, 28), (20, 34), (25, 9), (46, 19), (2, 4), (28, 23), (10, 6), (26, 25), (26, 50), (1, 13), (35, 22), (48, 6), (23, 31), (25, 24), (13, 33)]",13800,43,30,150
"[(21, 48), (46, 19), (9, 28), (34, 5), (39, 17), (17, 2), (1, 17), (23, 31), (27, 2), (5, 41), (32, 5), (21, 30), (25, 24), (37, 38), (8, 29), (19, 28), (1, 13), (32, 42), (1, 11), (24, 44), (45, 43), (45, 30), (45, 35), (25, 9), (31, 10), (48, 6), (20, 34), (11, 20), (40, 49), (13, 26), (3, 18), (20, 31), (34, 37), (42, 14), (41, 11), (26, 25), (33, 12), (27, 9), (29, 46), (49, 48), (13, 25), (5, 16), (36, 7), (29, 41), (14, 50), (18, 4), (16, 43), (19, 12), (35, 22), (13, 33), (10, 6), (37, 30), (26, 50), (2, 4), (44, 45), (35, 6), (28, 23), (5, 9), (4, 34), (1, 22)]",12866,40,30,200
"[(14, 50), (27, 2), (18, 4), (40, 49), (20, 34), (27, 9), (1, 22), (21, 30), (26, 25), (39, 17), (32, 42), (3, 18), (29, 41), (35, 22), (13, 25), (4, 34), (5, 41), (45, 43), (1, 13), (11, 20), (8, 29), (32, 5), (17, 2), (24, 44), (25, 24), (26, 50), (21, 48), (44, 45), (25, 9), (5, 9), (28, 23), (23, 31), (29, 46), (2, 4), (16, 43), (13, 33), (19, 12), (45, 35), (36, 7), (42, 14), (37, 38), (1, 17), (34, 37), (35, 6), (31, 10), (33, 12), (5, 16), (37, 30), (34, 5), (1, 11), (10, 6), (20, 31), (49, 48), (45, 30), (48, 6), (41, 11), (19, 28), (46, 19), (13, 26), (9, 28)]",12894,40,30,250
