netlist,score,intersections,restarts,max_reverts
"[(16, 22), (12, 18), (23, 19), (7, 5), (11, 2), (19, 21), (12, 4), (9, 11), (3, 7), (14, 3), (23, 12), (19, 3), (2, 16), (8, 6), (13, 10), (25, 16), (14, 20), (9, 8), (3, 17), (11, 4), (13, 15), (1, 14), (13, 25), (5, 2), (9, 10), (3, 4), (17, 8), (4, 20), (9, 2), (25, 17), (2, 14), (18, 16), (12, 1), (25, 24), (19, 11), (14, 5), (1, 23), (5, 10), (5, 9), (18, 10), (21, 17), (6, 13), (21, 7), (6, 15), (20, 22), (18, 22), (4, 10), (11, 1), (8, 24), (1, 15)]",8241,25,1000,100
aangepaste punten voor hoogte
"[(21, 17), (11, 1), (19, 21), (3, 4), (12, 18), (13, 10), (2, 16), (3, 7), (9, 10), (8, 24), (3, 17), (11, 2), (12, 4), (19, 11), (14, 5), (18, 22), (4, 20), (9, 11), (5, 10), (25, 16), (7, 5), (23, 19), (11, 4), (14, 3), (18, 16), (25, 24), (18, 10), (9, 8), (13, 25), (5, 2), (4, 10), (19, 3), (14, 20), (17, 8), (23, 12), (9, 2), (1, 15), (5, 9), (2, 14), (16, 22), (21, 7), (25, 17), (8, 6), (20, 22), (1, 23), (6, 13), (1, 14), (6, 15), (13, 15), (12, 1)]",8827,27,1000,100
"[(9, 2), (5, 9), (19, 3), (5, 2), (21, 17), (2, 16), (11, 1), (9, 11), (18, 22), (11, 2), (9, 10), (12, 4), (19, 21), (1, 23), (25, 17), (25, 16), (14, 5), (1, 15), (2, 14), (25, 24), (4, 20), (13, 10), (23, 12), (23, 19), (16, 22), (4, 10), (11, 4), (18, 10), (7, 5), (17, 8), (6, 13), (3, 17), (12, 1), (6, 15), (8, 6), (12, 18), (5, 10), (3, 7), (13, 15), (18, 16), (20, 22), (8, 24), (14, 20), (9, 8), (21, 7), (3, 4), (13, 25), (14, 3), (1, 14), (19, 11)]",14259,45,10,10
"[(11, 1), (14, 20), (25, 16), (19, 3), (4, 20), (21, 17), (9, 10), (3, 17), (2, 16), (8, 24), (23, 12), (13, 15), (8, 6), (7, 5), (11, 2), (23, 19), (21, 7), (25, 24), (19, 21), (18, 10), (3, 4), (4, 10), (12, 4), (12, 1), (14, 3), (17, 8), (9, 11), (1, 15), (16, 22), (11, 4), (9, 8), (1, 23), (14, 5), (5, 9), (6, 15), (25, 17), (13, 10), (5, 2), (12, 18), (20, 22), (9, 2), (19, 11), (1, 14), (2, 14), (18, 22), (5, 10), (18, 16), (6, 13), (3, 7), (13, 25)]",2993,7,1,1
"[(25, 24), (23, 12), (6, 15), (9, 8), (25, 16), (7, 5), (13, 25), (9, 2), (9, 11), (23, 19), (11, 4), (21, 17), (5, 2), (19, 21), (2, 16), (13, 15), (9, 10), (25, 17), (5, 9), (12, 18), (3, 4), (19, 11), (4, 20), (12, 4), (3, 17), (1, 23), (14, 5), (5, 10), (14, 3), (8, 6), (18, 10), (17, 8), (8, 24), (4, 10), (11, 2), (14, 20), (16, 22), (21, 7), (20, 22), (1, 15), (18, 16), (13, 10), (3, 7), (2, 14), (11, 1), (19, 3), (12, 1), (18, 22), (1, 14), (6, 13)]",1477,2,10,10
"[(16, 22), (13, 25), (5, 10), (6, 15), (12, 1), (17, 8), (1, 15), (25, 17), (4, 20), (14, 20), (14, 3), (9, 10), (7, 5), (4, 10), (14, 5), (21, 7), (13, 15), (25, 16), (18, 10), (2, 14), (3, 17), (1, 14), (2, 16), (11, 4), (9, 8), (5, 9), (18, 16), (8, 6), (11, 2), (3, 4), (12, 18), (8, 24), (9, 11), (3, 7), (5, 2), (12, 4), (20, 22), (11, 1), (18, 22), (23, 12), (19, 11), (23, 19), (13, 10), (6, 13), (25, 24), (1, 23), (19, 3), (21, 17), (19, 21), (9, 2)]",1475,2,100,10
"[(5, 2), (2, 16), (8, 6), (7, 5), (21, 17), (18, 16), (20, 22), (4, 20), (8, 24), (14, 20), (11, 4), (13, 25), (25, 16), (3, 7), (12, 18), (11, 2), (5, 10), (17, 8), (6, 13), (23, 19), (9, 11), (12, 1), (1, 14), (6, 15), (9, 8), (19, 11), (14, 3), (1, 15), (19, 21), (13, 10), (14, 5), (5, 9), (3, 4), (4, 10), (12, 4), (13, 15), (9, 10), (11, 1), (19, 3), (3, 17), (2, 14), (21, 7), (9, 2), (18, 22), (23, 12), (16, 22), (1, 23), (25, 17), (25, 24), (18, 10)]",843,0,1000,100
"(1205, [(1, 14), (1, 15), (1, 23), (9, 8), (3, 7), (4, 20), (4, 10), (5, 9), (5, 10), (6, 15), (7, 5), (5, 2), (8, 24), (11, 1), (11, 2), (9, 2), (8, 6), (13, 15), (14, 3), (9, 11), (12, 1), (12, 18), (12, 4), (9, 10), (13, 25), (14, 5), (14, 20), (16, 22), (11, 4), (19, 11), (25, 24), (17, 8), (18, 16), (18, 22), (18, 10), (19, 21), (19, 3), (13, 10), (2, 14), (20, 22), (21, 7), (2, 16), (3, 17), (21, 17), (23, 12), (23, 19), (3, 4), (6, 13), (25, 16), (25, 17)])",1205,1,1,1
"(1205, [(1, 14), (1, 15), (1, 23), (9, 8), (3, 7), (4, 20), (4, 10), (5, 9), (5, 10), (6, 15), (7, 5), (5, 2), (8, 24), (11, 1), (11, 2), (9, 2), (8, 6), (13, 15), (14, 3), (9, 11), (12, 1), (12, 18), (12, 4), (9, 10), (13, 25), (14, 5), (14, 20), (16, 22), (11, 4), (19, 11), (25, 24), (17, 8), (18, 16), (18, 22), (18, 10), (19, 21), (19, 3), (13, 10), (2, 14), (20, 22), (21, 7), (2, 16), (3, 17), (21, 17), (23, 12), (23, 19), (3, 4), (6, 13), (25, 16), (25, 17)])",1205,1,1,1
"[(5, 2), (7, 5), (13, 25), (3, 7), (21, 7), (8, 6), (19, 11), (9, 10), (25, 24), (1, 23), (16, 22), (4, 10), (9, 2), (18, 16), (18, 22), (18, 10), (14, 20), (11, 1), (13, 15), (8, 24), (9, 8), (1, 14), (5, 10), (3, 4), (9, 11), (25, 16), (19, 21), (25, 17), (11, 2), (1, 15), (2, 16), (17, 8), (20, 22), (5, 9), (12, 1), (23, 19), (14, 3), (12, 18), (6, 13), (23, 12), (11, 4), (19, 3), (6, 15), (21, 17), (4, 20), (12, 4), (2, 14), (14, 5), (13, 10), (3, 17)]",877,0,100,100
"[(12, 4), (13, 15), (23, 19), (17, 8), (12, 18), (5, 2), (9, 2), (3, 7), (19, 3), (9, 11), (4, 20), (8, 24), (2, 14), (3, 4), (19, 21), (6, 13), (12, 1), (16, 22), (18, 16), (14, 3), (21, 17), (21, 7), (11, 4), (18, 10), (11, 1), (14, 5), (2, 16), (6, 15), (19, 11), (9, 10), (7, 5), (1, 23), (13, 25), (14, 20), (8, 6), (11, 2), (1, 15), (3, 17), (5, 10), (25, 16), (23, 12), (9, 8), (1, 14), (4, 10), (20, 22), (13, 10), (25, 24), (25, 17), (5, 9), (18, 22)]",7661,23,100,100
