netlist,score,intersections,restarts,max_reverts
"[(9, 8), (23, 19), (17, 8), (7, 5), (5, 10), (11, 4), (5, 9), (5, 2), (21, 17), (6, 13), (12, 18), (9, 2), (25, 16), (19, 3), (6, 15), (25, 17), (3, 4), (13, 15), (11, 2), (18, 10), (2, 16), (13, 10), (25, 24), (1, 23), (13, 25), (12, 1), (9, 11), (14, 20), (18, 22), (9, 10), (12, 4), (16, 22), (1, 14), (11, 1), (23, 12), (8, 24), (4, 10), (2, 14), (14, 5), (20, 22), (21, 7), (8, 6), (18, 16), (19, 21), (1, 15), (3, 7), (19, 11), (14, 3), (4, 20), (3, 17)]",11487,36,250,20
"[(7, 5), (11, 2), (5, 9), (3, 17), (13, 15), (12, 4), (9, 2), (5, 10), (9, 11), (25, 17), (19, 3), (18, 10), (18, 16), (18, 22), (11, 4), (12, 18), (14, 3), (6, 13), (19, 11), (9, 10), (5, 2), (25, 16), (11, 1), (23, 12), (14, 5), (4, 20), (1, 14), (21, 17), (19, 21), (14, 20), (25, 24), (8, 24), (1, 23), (1, 15), (23, 19), (16, 22), (13, 10), (20, 22), (3, 7), (2, 14), (13, 25), (17, 8), (12, 1), (3, 4), (6, 15), (8, 6), (21, 7), (4, 10), (2, 16), (9, 8)]",9397,29,500,20
"[(25, 17), (25, 24), (6, 13), (12, 18), (9, 8), (1, 23), (12, 4), (18, 10), (18, 16), (19, 3), (6, 15), (8, 6), (9, 11), (19, 21), (18, 22), (14, 20), (21, 17), (23, 19), (19, 11), (5, 9), (25, 16), (5, 2), (3, 4), (16, 22), (4, 20), (11, 1), (1, 14), (9, 2), (11, 2), (7, 5), (11, 4), (21, 7), (9, 10), (14, 5), (8, 24), (17, 8), (13, 10), (13, 25), (5, 10), (3, 17), (20, 22), (12, 1), (23, 12), (3, 7), (14, 3), (1, 15), (4, 10), (2, 14), (13, 15), (2, 16)]",10031,31,500,20
"[(5, 9), (21, 17), (14, 3), (14, 20), (6, 15), (13, 15), (16, 22), (18, 16), (25, 17), (12, 18), (17, 8), (13, 25), (12, 1), (4, 20), (23, 19), (12, 4), (9, 8), (11, 2), (25, 16), (19, 21), (9, 11), (8, 24), (2, 16), (19, 3), (9, 2), (5, 10), (6, 13), (1, 14), (8, 6), (18, 10), (5, 2), (18, 22), (3, 17), (19, 11), (25, 24), (3, 4), (11, 1), (11, 4), (2, 14), (1, 15), (1, 23), (3, 7), (7, 5), (14, 5), (21, 7), (4, 10), (23, 12), (9, 10), (20, 22), (13, 10)]",7905,24,750,20
"[(8, 6), (3, 4), (2, 16), (16, 22), (7, 5), (11, 2), (13, 10), (13, 15), (5, 10), (18, 10), (23, 19), (1, 15), (9, 8), (17, 8), (25, 17), (11, 1), (25, 16), (3, 17), (25, 24), (14, 20), (21, 17), (9, 10), (12, 18), (4, 20), (5, 2), (3, 7), (9, 2), (13, 25), (9, 11), (14, 3), (19, 3), (12, 1), (18, 22), (6, 13), (20, 22), (1, 14), (5, 9), (19, 21), (18, 16), (19, 11), (23, 12), (12, 4), (6, 15), (21, 7), (14, 5), (8, 24), (2, 14), (4, 10), (11, 4), (1, 23)]",9711,30,1000,20

"[(14, 3), (5, 10), (8, 24), (3, 7), (9, 10), (6, 13), (21, 17), (12, 18), (25, 24), (5, 9), (13, 25), (25, 17), (9, 11), (18, 10), (1, 15), (11, 1), (13, 10), (3, 4), (9, 8), (7, 5), (17, 8), (21, 7), (19, 3), (5, 2), (23, 19), (13, 15), (14, 20), (8, 6), (9, 2), (18, 16), (12, 4), (19, 11), (3, 17), (23, 12), (1, 14), (25, 16), (12, 1), (2, 16), (11, 4), (14, 5), (19, 21), (16, 22), (18, 22), (20, 22), (11, 2), (4, 20), (4, 10), (6, 15), (2, 14), (1, 23)]",10351,32,20,100
"[(14, 3), (12, 18), (6, 13), (19, 3), (9, 2), (19, 11), (16, 22), (5, 9), (3, 4), (8, 6), (25, 24), (3, 7), (9, 11), (1, 15), (3, 17), (18, 22), (17, 8), (13, 15), (23, 19), (11, 2), (4, 20), (19, 21), (5, 10), (2, 16), (18, 16), (9, 8), (8, 24), (4, 10), (18, 10), (6, 15), (12, 4), (21, 17), (13, 25), (9, 10), (14, 20), (7, 5), (25, 17), (2, 14), (1, 14), (20, 22), (23, 12), (12, 1), (5, 2), (11, 1), (11, 4), (21, 7), (13, 10), (14, 5), (1, 23), (25, 16)]",10307,32,20,200
"[(9, 10), (12, 18), (19, 11), (23, 19), (9, 11), (5, 9), (20, 22), (9, 2), (17, 8), (8, 6), (6, 13), (14, 3), (5, 2), (11, 1), (18, 16), (4, 10), (25, 16), (5, 10), (25, 24), (3, 17), (2, 14), (13, 15), (16, 22), (11, 2), (12, 1), (2, 16), (21, 17), (13, 25), (14, 5), (1, 15), (8, 24), (4, 20), (19, 3), (14, 20), (13, 10), (25, 17), (23, 12), (9, 8), (18, 10), (3, 7), (1, 23), (3, 4), (6, 15), (18, 22), (7, 5), (21, 7), (1, 14), (11, 4), (12, 4), (19, 21)]",9975,31,1000,20
tweede punten voor hoogte
"[(18, 10), (9, 2), (6, 15), (25, 24), (6, 13), (9, 8), (11, 1), (5, 10), (14, 20), (23, 12), (4, 10), (19, 3), (11, 2), (9, 11), (2, 16), (18, 16), (25, 17), (19, 21), (3, 17), (5, 9), (21, 7), (12, 4), (3, 4), (19, 11), (2, 14), (9, 10), (25, 16), (13, 15), (3, 7), (23, 19), (17, 8), (20, 22), (1, 14), (14, 3), (8, 24), (18, 22), (13, 25), (12, 1), (8, 6), (21, 17), (12, 18), (5, 2), (11, 4), (7, 5), (14, 5), (1, 15), (16, 22), (13, 10), (1, 23), (4, 20)]",10287,32,1000,100
"[(9, 2), (16, 22), (9, 8), (19, 11), (3, 7), (11, 1), (14, 5), (4, 20), (21, 17), (9, 10), (25, 17), (25, 24), (5, 2), (14, 20), (23, 19), (2, 16), (19, 3), (5, 9), (1, 14), (13, 15), (11, 4), (17, 8), (3, 4), (12, 18), (1, 23), (23, 12), (20, 22), (25, 16), (12, 1), (5, 10), (2, 14), (12, 4), (18, 10), (11, 2), (19, 21), (3, 17), (8, 6), (18, 22), (8, 24), (21, 7), (1, 15), (14, 3), (18, 16), (6, 15), (9, 11), (13, 25), (4, 10), (13, 10), (7, 5), (6, 13)]",9987,31,1000,100
eerste punten voor hoogte
