netlist,score,intersections,restarts,max_reverts
"[(12, 13), (9, 19), (11, 21), (16, 5), (1, 16), (16, 11), (3, 6), (11, 5), (15, 7), (15, 6), (16, 14), (14, 12), (4, 1), (11, 6), (19, 14), (24, 21), (19, 22), (23, 9), (2, 22), (23, 11), (9, 24), (14, 20), (12, 16), (10, 24), (23, 19), (15, 8), (25, 13), (18, 12), (5, 1), (6, 18), (20, 10), (17, 22), (15, 2), (12, 8), (2, 23), (13, 14), (5, 4), (13, 21), (20, 9), (7, 10)]",4679,14,250,20
"[(23, 9), (19, 14), (2, 23), (16, 11), (12, 13), (23, 19), (24, 21), (3, 6), (13, 21), (16, 5), (15, 2), (11, 21), (9, 24), (5, 4), (13, 14), (2, 22), (5, 1), (15, 8), (14, 20), (18, 12), (12, 8), (16, 14), (15, 6), (17, 22), (20, 9), (23, 11), (15, 7), (11, 5), (11, 6), (20, 10), (14, 12), (19, 22), (4, 1), (6, 18), (7, 10), (25, 13), (12, 16), (10, 24), (9, 19), (1, 16)]",4393,13,500,20
"[(16, 5), (2, 23), (12, 13), (19, 14), (12, 8), (23, 19), (25, 13), (9, 19), (20, 9), (24, 21), (18, 12), (3, 6), (14, 12), (6, 18), (11, 6), (14, 20), (23, 11), (13, 14), (23, 9), (16, 11), (5, 4), (16, 14), (7, 10), (11, 21), (15, 7), (5, 1), (11, 5), (12, 16), (15, 6), (20, 10), (19, 22), (17, 22), (2, 22), (15, 8), (1, 16), (10, 24), (13, 21), (15, 2), (4, 1), (9, 24)]",2879,8,750,20
"[(11, 6), (6, 18), (14, 20), (12, 13), (3, 6), (2, 23), (4, 1), (24, 21), (18, 12), (23, 19), (13, 14), (23, 11), (16, 14), (23, 9), (17, 22), (15, 7), (11, 5), (15, 8), (14, 12), (16, 11), (10, 24), (25, 13), (12, 8), (19, 14), (15, 2), (5, 4), (5, 1), (1, 16), (9, 24), (15, 6), (12, 16), (20, 10), (7, 10), (19, 22), (20, 9), (11, 21), (9, 19), (2, 22), (16, 5), (13, 21)]",3475,10,1000,20
"[(19, 14), (15, 6), (23, 11), (18, 12), (15, 8), (5, 1), (17, 22), (14, 20), (14, 12), (15, 7), (16, 11), (16, 5), (20, 10), (11, 5), (23, 19), (11, 6), (1, 16), (19, 22), (2, 22), (23, 9), (9, 24), (12, 8), (6, 18), (3, 6), (2, 23), (11, 21), (13, 21), (13, 14), (9, 19), (12, 13), (20, 9), (5, 4), (16, 14), (25, 13), (10, 24), (15, 2), (7, 10), (12, 16), (24, 21), (4, 1)]",2867,8,100,100
"[(20, 10), (16, 14), (15, 7), (23, 11), (12, 13), (17, 22), (15, 2), (23, 9), (19, 22), (9, 19), (15, 6), (11, 21), (11, 5), (19, 14), (16, 11), (12, 16), (20, 9), (14, 12), (5, 4), (13, 21), (2, 23), (25, 13), (5, 1), (15, 8), (7, 10), (24, 21), (1, 16), (3, 6), (18, 12), (4, 1), (14, 20), (11, 6), (9, 24), (23, 19), (16, 5), (13, 14), (6, 18), (12, 8), (2, 22), (10, 24)]",2413,6,1,1
"[(14, 12), (20, 9), (6, 18), (9, 19), (1, 16), (19, 22), (12, 16), (12, 8), (13, 21), (16, 14), (20, 10), (23, 19), (13, 14), (3, 6), (15, 7), (5, 4), (17, 22), (19, 14), (24, 21), (11, 6), (16, 5), (4, 1), (9, 24), (23, 9), (7, 10), (16, 11), (11, 5), (2, 23), (25, 13), (12, 13), (2, 22), (10, 24), (11, 21), (15, 2), (15, 8), (5, 1), (14, 20), (18, 12), (15, 6), (23, 11)]",609,0,100,100
"[(2, 22), (17, 22), (4, 1), (13, 14), (12, 13), (11, 5), (20, 10), (25, 13), (5, 1), (23, 11), (15, 7), (11, 6), (14, 20), (9, 19), (14, 12), (15, 8), (12, 8), (1, 16), (2, 23), (23, 19), (10, 24), (16, 5), (16, 14), (16, 11), (15, 6), (24, 21), (23, 9), (7, 10), (15, 2), (5, 4), (13, 21), (3, 6), (12, 16), (9, 24), (19, 22), (20, 9), (18, 12), (11, 21), (19, 14), (6, 18)]",1847,4,1,1
"[(19, 22), (5, 4), (11, 6), (6, 18), (5, 1), (15, 6), (14, 20), (20, 10), (2, 22), (15, 2), (16, 5), (12, 16), (18, 12), (25, 13), (2, 23), (10, 24), (12, 8), (20, 9), (14, 12), (9, 19), (4, 1), (11, 21), (24, 21), (11, 5), (16, 11), (17, 22), (23, 9), (19, 14), (23, 11), (13, 21), (13, 14), (1, 16), (12, 13), (23, 19), (15, 7), (16, 14), (15, 8), (3, 6), (9, 24), (7, 10)]",1829,4,1,1
"[(4, 1), (15, 7), (14, 12), (2, 23), (5, 1), (11, 21), (7, 10), (10, 24), (19, 14), (12, 8), (11, 6), (12, 13), (15, 8), (9, 19), (23, 19), (5, 4), (15, 6), (16, 14), (20, 10), (11, 5), (25, 13), (6, 18), (18, 12), (13, 21), (23, 9), (23, 11), (9, 24), (2, 22), (16, 5), (15, 2), (14, 20), (16, 11), (24, 21), (17, 22), (19, 22), (3, 6), (20, 9), (12, 16), (13, 14), (1, 16)]",1815,4,1,1
"[(5, 1), (14, 20), (13, 14), (2, 23), (9, 24), (16, 11), (16, 14), (25, 13), (11, 6), (12, 8), (15, 2), (12, 13), (4, 1), (16, 5), (9, 19), (12, 16), (3, 6), (15, 7), (6, 18), (24, 21), (20, 10), (19, 22), (1, 16), (15, 6), (20, 9), (23, 11), (14, 12), (13, 21), (11, 5), (23, 19), (23, 9), (17, 22), (7, 10), (19, 14), (5, 4), (18, 12), (2, 22), (11, 21), (15, 8), (10, 24)]",629,0,100,100
"[(12, 13), (14, 20), (16, 11), (23, 11), (24, 21), (17, 22), (19, 14), (14, 12), (12, 8), (25, 13), (13, 14), (15, 6), (11, 21), (2, 23), (16, 5), (6, 18), (16, 14), (23, 19), (3, 6), (2, 22), (11, 5), (23, 9), (19, 22), (9, 19), (9, 24), (12, 16), (4, 1), (5, 4), (15, 8), (7, 10), (11, 6), (15, 7), (13, 21), (15, 2), (10, 24), (18, 12), (5, 1), (20, 9), (20, 10), (1, 16)]",2589,7,100,100
